"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Transactions","0","Amount","3","0","","0"
"0","System/Acquirers","0","Status","0","0","","3"
"0","Login","0","Navigation","5","0","","0"
"0","Header","0","Logo","2","0","","0"
"0","System/Companies and business units","0","Edit company","0","0","","1"
"0","Transactions","0","Currency","4","0","","0"
"0","System/Companies and business units","0","Add company","13","0","","4"
"0","Transactions","0","Selector rows options","1","0","","0"
"0","System/Acquirers","0","Acquirers list","2","0","","0"
"0","System/Companies and business units","0","Add merchant","1","0","","3"
"0","Transactions","0","Number of lines per page field","1","0","","0"
"0","Transactions","0","Navigation","1","0","","0"
"0","Transactions","0","Data range","1","0","","0"
"0","System/Companies and business units","0","Add business unit","0","0","","1"
"0","Header","0","User menu","1","0","","1"
"0","System/Acquirers","0","Add acquirer","3","0","","2"
"0","System/Team","0","Navigation","1","0","","0"
"0","Transactions","0","Status","2","0","","0"
"0","System/Team","0","Edit user","0","0","","1"
"0","Transactions","0","Panel","1","0","","0"
"0","Header","0","Transactions menu item","1","0","","0"
"0","Transactions","0","Transactions table header","1","0","","0"
"0","System/Gateway","0","Currency","3","0","","0"
"0","System/Acquirers","0","Select acquirer","1","0","","0"
"0","Reports","0","Navigation","1","0","","0"
"0","Login","0","Remember me","2","0","","0"
"0","Transactions","0","Pagination","1","0","","0"
"0","System/Team","0","Add user","1","0","","1"
"0","Companies and business units","0","Add merchant","0","0","","1"
"0","Header","0","Log Out","1","0","","0"
"0","Dashboard","0","Navigation","1","0","","0"
"0","System/Acquirers","0","Edit acquirers","0","0","","1"
